3월	3/nnc+월/nbu
17일(토)	17일(토)/ncn
아름다운	아름답/paa+은/etm
여행으로	여행/ncpa+으로/jca
장성	장성/ncn
편백숲과	편백/ncn+숲/ncn+과/jcj
고창읍성에	고창/ncn+읍성/ncn+에/jca
다녀왔습니다	다니/pvg+어/ecx+오/px+아/ep+ㅂ니다/ef
.	./sf

봄비가	봄비/ncn+가/jcs
내리는	내리/pvg+는/etm
고속도로를	고속도로/ncn+를/jco
달려	달리/pvg+어/ecx
고창에	고창/ncn+에/jca
도착하였습니다	도착/ncpa+하/xsva+었/ep+습니다/ef
.	./sf

비는	비/ncn+는/jxc
거의	거의/mag
그쳐서	그치/pvg+어서/ecs
흩뿌리는	흩뿌리/pvg+는/etm
빗방울	빗방울/ncn
정도라	정도/ncn+이/jp+라/ecs
여행을	여행/ncpa+을/jco
하기에	하/pvg+기/etn+에/jca
그다지	그다지/mag
번거로운	번거/ncps+로운/ncn
날씨는	날씨/ncn+는/jxc
아니었습니다	아니/paa+었/ep+습니다/ef
.	./sf

먼저	먼저/mag
조선	조선/ncpa
초기에	초/nbu+이/jp+기/etn+에/jca
조성된	조성/ncpa+되/xsvn+ㄴ/etm
고창읍성을	고창/ncn+읍성/ncn+을/jco
돌아보았습니다	돌/pvg+아/ecx+보/px+아/ep+ㅂ니다/ef
.	./sf

안개가	안개/ncn+가/jcs
끼어	끼/pvg+어/ecx
성곽	성곽/ncn
위에서	위/ncn+에서/jca
바라본	바라/pvg+아/ecx+보/px+ㄴ/etm
고창	고창/ncn
읍내가	읍내/ncn+가/jcs
또렸하지는	또렸하지/ncn+는/jxc
않았지만	않/px+아/ep+지만/ecs
촉촉히	촉촉히/mag
물기	물/pvg+기/etn
머금은	머금/pvg+은/etm
솔잎,	솔잎/ncn+,/sp
선명해보이는	선명/ncps+하/xsms+어/ecx+보이/px+는/etm
성벽이	성벽/ncn+이/jcc
봄맞이	봄맞이/ncn
대청소를	대청/ncn+소/ncn+를/jco
한	하/pvg+ㄴ/etm
듯	듯/nbn
깔끔했습니다	깔끔/ncps+하/xsms+었/ep+습니다/ef
.	./sf

고창읍성	고창/ncn+읍성/ncn
성곽을	성곽/ncn+을/jco
따라	따르/pvg+아/ecx
빙	빙/mag
한바퀴	한/nnc+바퀴/nbu
도는데	돌/pvg+ㄴ데/ecs
걸리는	걸리/pvg+는/etm
시간은	시간/nbu+은/jxc
약	약/ncn
2-30분	2/nnc+-30/nnc+분/nbu
정도지만	정도/ncn+이/jp+지만/ecs
성곽을	성곽/ncn+을/jco
중심으로	중심/ncn+으로/jca
성	성/ncn
바깥길	바깥/ncn+길/ncn
그리고	그리고/maj
성안	성안/ncn
솔숲길	솔숲길/ncn
등을	등/nbu+을/jco
선택하여	선택/ncpa+하/xsva+어/ecx
가벼운	가볍/paa+은/etm
산책을	산책/ncpa+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있습니다	있/px+습니다/ef
.	./sf

이번엔	이/nnc+번/nbu+엔/jca
성을	성/ncn+을/jco
따라	따르/pvg+아/ecx
돌다가	돌/pvg+다가/ecs
다시	다시/mag
복원을	복원/ncpa+을/jco
하였지만	하/px+었/ep+지만/ecs
현재까지	현재/ncn+까지/jxc
남아	남/pvg+아/ecx
있는	있/px+는/etm
객사,	객사/ncpa+,/sp
동헌	동헌/ncn
등을	등/nbu+을/jco
살펴보았습니다	살피/pvg+어/ecx+보/px+아/ep+ㅂ니다/ef
.	./sf

고창읍성은	고창/ncn+읍성/ncn+은/jxc
전시에만	전시/ncn+에/jca+만/jxc
주민들이	주민/ncn+들/ncn+이/jcc
성	성/ncn
안으로	안/ncn+으로/jca
들어와	들/pvg+어/ecx+오/px+아/ecx
살았기	살/pvg+아/ep+기/etn
때문에	때문/nbn+에/jca
민가가	민가/ncn+가/jcs
없는	없/paa+는/etm
것도	것/nbn+도/jxc
순천	순천/ncn
낙안읍성과	낙안읍성/ncn+과/jct
다른	다르/paa+ㄴ/etm
형태입니다	형태/ncn+이/jp+ㅂ니다/ef
.	./sf

이	이/mmd
고창읍성	고창/ncn+읍성/ncn
일대는	일/nnc+대/nbu+는/jxc
공원으로	공원/ncn+으로/jca
말끔히	말끔히/mag
정리를	정리/ncn+를/jco
하여	하/pvg+어/ecx
가볍게	가볍/paa+게/ecs
산책을	산책/ncpa+을/jco
하기에	하/pvg+기/etn+에/jca
그만이고	그만이/paa+고/ecc
탄탄하게	탄탄/ncps+하/xsms+게/ecs
쌓아올린	쌓아올린/ncn
성곽을	성곽/ncn+을/jco
따라	따르/pvg+아/ecx
걷는	걷/pvg+는/etm
재미도	재미/ncn+도/jxc
남다릅니다	남다르/paa+ㅂ니다/ef
.	./sf

고창에는	고창/ncn+에/jca+는/jxc
선운사와	선운사/ncn+와/jcj
청보리	청보/ncn+이/jp+리/ef
필무렵	피/pvg+ㄹ/etm+무렵/nbn
학원농장	학원/ncn+농장/ncn
등	등/nbu
유명	유명/ncn
여행지는	여행지/ncn+는/jxc
많이들	많이들/ncn
알고	알/pvg+고/ecx
있지만	있/px+지/ecx+말/px+ㄴ/etm
고창읍성은	고창/ncn+읍성/ncn+은/jxc
잘	잘/mag
가지	가지/nbu
않게	않/px+게/ecs
되는	되/pvg+는/etm
곳이지만	곳/ncn+이/jp+지만/ecs
다음에	다음/ncn+에/jca
개별적으로	개별/ncn+적/ncn+으로/jca
가실	가/px+시/ep+ㄹ/etm
기회가	기회/ncn+가/jcs
있으면	있/px+으면/ecs
고창읍성과	고창/ncn+읍성/ncn+과/jct
바로	바로/mag
옆	옆/ncn
신재효선생	신재효선생/ncn
고가와	고가/ncn+와/jcj
판소리박물관도	판소리/ncn+박물관/ncn+도/jxc
꼭	꼭/mag
돌아보시기	돌/pvg+아/ecx+보/px+시/ep+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf

신재효선생은	신재효선생/ncn+은/jxc
우리가	우리/npp+가/jcs
익히	익히/mag
알고	알/pvg+고/ecx
있는	있/px+는/etm
춘향가,	춘향가,/ncn
심청가	심청/ncn+가/jcs
등	등/nbu
우리나라	우리나라/ncn
판소리	판소리/ncn
여섯	여섯/nnc
마당을	마당/ncn+을/jco
정리하신	정리/ncpa+하/xsva+시/ep+ㄴ/etm
분입니다	분/nbn+이/jp+ㅂ니다/ef
.	./sf

점심식사는	점심식사/ncpa+는/jxc
고창읍성과	고창/ncn+읍성/ncn+과/jct
가까운	가깝/paa+은/etm
황토마을이라는	황토/ncn+마을/ncn+이/jp+라/ef+는/etm
음식점에서	음식/ncn+점/ncn+에서/jca
백반으로	백반/ncn+으로/jca
식사를	식사/ncpa+를/jco
하고	하/pvg+고/ecc
장성	장성/ncn
편백숲으로	편백/ncn+숲/ncn+으로/jca
향했습니다	향하/pvg+었/ep+습니다/ef
.	./sf

이	이/mmd
시간	시간/nbu
흩뿌리던	흩뿌리/pvg+던/etm
비도	비/ncn+도/jxc
모두	모두/mag
그친	그치/pvg+ㄴ/etm
상태였습니다	상태/ncn+이/jp+었/ep+습니다/ef
.	./sf

하지만	하/pvg+지만/ecs
장성으로	장성/ncn+으로/jca
가는	가/pvg+는/etm
길에도	길/ncn+에/jca+도/jxc
안개는	안개/ncn+는/jxc
쉬이	쉬/ncpa+이/jcc
걷히지	걷히/pvg+지/ecx
않더군요	않/px+더군/ef+요/jxf
.	./sf

이번	이/nnc+번/nbu
편백숲	편백/ncn+숲/ncn
걷기는	걷/pvg+기/etn+는/jxc
마찬가지로	마찬가지/ncn+로/jca
추암리를	추암리/ncn+를/jco
출발해	출발/ncpa+하/xsva+어/ecx
금곡영화마을에	금곡/ncn+영화/ncn+마을/ncn+에/jca
도착하는	도착/ncpa+하/xsva+는/etm
약	약/ncn
7.km	7.km/ncn
코스입니다	코스/ncn+이/jp+ㅂ니다/ef
.	./sf

난이도는	난이도/ncn+는/jxc
거의	거의/mag
없고	없/paa+고/ecc
피톤치드	피톤치드/ncn
함유량이	함유량/ncn+이/jcc
많은	많/paa+은/etm
편백숲을	편백/ncn+숲/ncn+을/jco
거닐며	거닐/pvg+며/ecc
숲의	숲/ncn+의/jcm
기운을	기운/ncn+을/jco
느껴보기엔	느끼/pvg+어/ecx+보/px+기/etn+엔/jca
이만한	이/nnc+만/nnc+한/nnc
곳이	곳/ncn+이/jcc
없죠	없/paa+죠/ef
.	./sf

안개가	안개/ncn+가/jcs
좀	좀/mag
심하다	심하/paa+어다/ecs
싶게	싶/px+게/ecs
끼어서	끼/pvg+어서/ecs
가시거리가	가시/ncn+거리/ncn+가/jcs
무척	무척/mag
짧아	짧/paa+아/ecx
살짝	살짝/mag
으스스한	으스스하/paa+ㄴ/etm
분위기가	분위기/ncn+가/jcs
연출되는	연출/ncpa+되/xsvn+는/etm
숲을	숲/ncn+을/jco
걸었습니다	걷/pvg+었/ep+습니다/ef
.	./sf

이번	이/nnc+번/nbu
편백숲은	편백/ncn+숲/ncn+은/jxc
날이	날/ncn+이/jcc
흐려서인지	흐려서/ncn+이/jp+ㄴ지/ecs
우리	우리/npp
외에는	외/nbn+에/jca+는/jxc
사람이	사람/ncn+이/jcc
거의	거의/mag
없어서	없/paa+어서/ecs
숲이	숲/ncn+이/jcc
온통	온통/mag
우리	우리/npp
차지였습니다	차지/ncpa+이/jp+었/ep+습니다/ef
.	./sf

임종국선생	임종국선생/ncn
추모비까지	추모비/ncn+까지/jxc
임도를	임도/ncn+를/jco
따라	따르/pvg+아/ecx
걷다가	걷/pvg+다가/ecs
임도를	임도/ncn+를/jco
버리고	버리/px+고/ecc
편백숲으로	편백/ncn+숲/ncn+으로/jca
들어서니	들어서/pvg+니/ecs
안개	안개/ncn
속	속/ncn
편백숲은	편백/ncn+숲/ncn+은/jxc
너무도	너무/mag+도/jxc
멋진	멋지/paa+ㄴ/etm
모습을	모습/ncn+을/jco
보여주더군요	보이/pvg+어/ecx+주/px+더군/ef+요/jxf
.	./sf

보일듯	보이/pvg+ㄹ/etm+듯/nbs
말듯	말/px+듯/ecs
온통	온통/mag
숲	숲/ncn
속은	속/ncn+은/jxc
흑백	흑백/ncn
세상	세상/ncn
같았고	같/paa+아/ep+고/ecc
맑고	맑/paa+고/ecc
높은	높/paa+은/etm
새소리도	새소리/ncn+도/jxc
너무	너무/mag
듣기	듣/pvg+기/etn
좋아서	좋/paa+아/ecx
숲의	숲/ncn+의/jcm
전령들이	전령/ncpa+들/xsncc+이/jcc
마치	마치/mag
마법을	마법/ncn+을/jco
부려놓은	부리/pvg+어/ecx+놓/px+은/etm
듯했습니다	듯하/px+었/ep+습니다/ef
.	./sf

쭉쭉	쭉쭉/mag
뻗어오른	뻗어오른/ncn
편백나무는	편백/ncn+나무/ncn+는/jxc
키가	크/paa+어/ecx+가/px+아/ecx
얼마나	얼마나/mag
큰지	크/paa+ㄴ지/ecs
머리	머리/ncn
위	위/ncn
가지는	가/pvg+아/ecx+지/px+는/etm
안개에	안개/ncn+에/jca
가려	가리/pvg+어/ecx
잘	잘/mag
보이지	보이/pvg+지/ecx
않았고	않/px+아/ep+고/ecc
비에	비/ncn+에/jca
젖은	젖/pvg+은/etm
나무는	나무/ncn+는/jxc
싱그러운	싱그럽/paa+은/etm
기운을	기운/ncn+을/jco
마음껏	마음껏/mag
내뿜고	내뿜/pvg+고/ecc
있더군요	있/px+더군/ef+요/jxf
.	./sf

그	그/mmd
숲속을	숲속/ncn+을/jco
거닐며	거닐/pvg+며/ecc
들려오던	들리/pvg+어/ecx+오/px+던/etm
계곡	계곡/ncn
물소리	물소리/ncn
그리고	그리고/maj
이름모를	이름/ncn+모/ncn+를/jco
새들의	새/ncn+들/xsncc+의/jcm
청아한	청아/ncn+한/ncn
음성…	음성…/ncn
.	./sf

눈에	눈/ncn+에/jca
보이는	보이/pvg+는/etm
모습과	모습/ncn+과/jcj
귀에	귀/ncn+에/jca
들리는	들리/pvg+는/etm
소리만으로도	소리/ncn+만/ncn+으로/jca+도/jxc
한껏	한껏/mag
마음이	마음/ncn+이/jcc
맑아진	맑/paa+아/ecx+지/px+ㄴ/etm
듯한	듯/nbn+하/pvg+ㄴ/etm
느낌이더군요	느낌/ncn+이/jp+더군/ef+요/jxf
.	./sf

안개	안개/ncn
속으로	속/ncn+으로/jca
사라진	사라지/pvg+ㄴ/etm
사람들의	사람/ncn+들/xsn+의/jcm
뒷모습	뒷모습/ncn
그리고	그리고/maj
신비감이	신비감/ncn+이/jcc
돋보이던	돋보이/pvg+던/etm
편백숲의	편백/ncn+숲/ncn+의/jcm
분위기도	분위기/ncn+도/jxc
오래	오래/mag
기억될	기억/ncpa+되/xsvn+ㄹ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
.	./sf

장성	장성/ncn
편백숲은	편백/ncn+숲/ncn+은/jxc
하루	하루/ncn
종일	종일/mag
머물고	머물/pvg+고/ecc
싶은	싶/px+은/etm
훌륭한	훌륭/ncps+하/xsms+ㄴ/etm
숲이라	숲/ncn+이/jp+라/ecs
다음에	다음/ncn+에/jca
기회가	기회/ncn+가/jcs
되면	되/pvg+면/ecs
숲속에서	숲속/ncn+에서/jca
하루를	하루/ncn+를/jco
보낼	보내/pvg+ㄹ/etm
수	수/nbn
있는	있/px+는/etm
시간도	시간/nbu+도/jxc
마련해보고	마련/ncpa+하/xsva+어/ecx+보/px+고/ecc
싶습니다	싶/px+습니다/ef
.	./sf

이번	이/nnc+번/nbu
편백숲에서	편백/ncn+숲/ncn+에서/jca
날씨가	날씨/ncn+가/jcs
좀더	좀더/mag
화창했다면	화창/ncps+하/xsms+었/ep+다면/ecs
편백나무	편백/ncn+나무/ncn
아래에	아래/ncn+에/jca
앉아	앉/pvg+아/ecx
맑은	맑/paa+은/etm
숨도	숨/ncn+도/jxc
들이켜보고	들이키/pvg+어/ecx+보/px+고/ecc
했을	하/px+었/ep+을/etm
텐데	텐데/ncn
날이	날/ncn+이/jcc
흐리고	흐리/pvg+고/ecc
약간	약간/mag
쌀쌀해서	쌀쌀하/paa+어서/ecs
오랜	오래/paa+ㄴ/etm
시간을	시간/ncn+을/jco
